clip,frame,player_id,player_label,foot_x,foot_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence
game1/Clip1,0,1,player_bottom,566.2610473632812,548.841552734375,529.3582153320312,391.98736572265625,603.1638793945312,548.841552734375,0.8814870715141296
game1/Clip1,0,2,player_top,783.6895751953125,157.89404296875,760.873046875,102.65670776367188,806.5061645507812,157.89404296875,0.8184882402420044
game1/Clip1,1,1,player_bottom,565.5859375,548.7368774414062,528.7271728515625,391.97576904296875,602.4447631835938,548.7368774414062,0.8684747219085693
game1/Clip1,1,2,player_top,783.696533203125,157.94964599609375,760.47705078125,101.71482849121094,806.9159545898438,157.94964599609375,0.8190363645553589
game1/Clip1,2,1,player_bottom,563.73974609375,547.9071044921875,526.3269653320312,388.30059814453125,601.152587890625,547.9071044921875,0.8580750823020935
game1/Clip1,2,2,player_top,783.7183837890625,158.02334594726562,759.9888305664062,100.47845458984375,807.4478759765625,158.02334594726562,0.8252842426300049
game1/Clip1,3,1,player_bottom,562.208984375,547.3092651367188,523.7174072265625,382.0292053222656,600.7005615234375,547.3092651367188,0.8390005826950073
game1/Clip1,3,2,player_top,783.6717529296875,158.1083221435547,759.4915771484375,99.33487701416016,807.8519897460938,158.1083221435547,0.832911491394043
game1/Clip1,4,1,player_bottom,560.74169921875,547.7846069335938,520.5161743164062,373.1409606933594,600.96728515625,547.7846069335938,0.8108446598052979
game1/Clip1,4,2,player_top,783.5198974609375,158.08544921875,758.9407958984375,98.14231872558594,808.0989990234375,158.08544921875,0.8446201682090759
game1/Clip1,5,1,player_bottom,559.800048828125,548.2528076171875,518.1690673828125,364.82183837890625,601.4309692382812,548.2528076171875,0.8294298648834229
game1/Clip1,5,2,player_top,783.4033203125,158.10641479492188,758.757080078125,97.7754898071289,808.049560546875,158.10641479492188,0.8463515043258667
game1/Clip1,6,1,player_bottom,559.6783447265625,548.5540161132812,517.5850219726562,360.08526611328125,601.771728515625,548.5540161132812,0.837846577167511
game1/Clip1,6,2,player_top,783.2640380859375,158.150634765625,758.4035034179688,96.98779296875,808.1245727539062,158.150634765625,0.855846643447876
game1/Clip1,7,1,player_bottom,560.2332763671875,548.5724487304688,518.066650390625,356.63897705078125,602.3998413085938,548.5724487304688,0.8551596403121948
game1/Clip1,7,2,player_top,783.2158203125,158.1488800048828,758.2614135742188,96.40303802490234,808.1702880859375,158.1488800048828,0.8538568019866943
game1/Clip1,8,1,player_bottom,561.8701782226562,548.4844360351562,519.7806396484375,354.27459716796875,603.959716796875,548.4844360351562,0.8396509289741516
game1/Clip1,8,2,player_top,783.170654296875,158.17311096191406,758.2266845703125,96.09491729736328,808.1146850585938,158.17311096191406,0.8463254570960999
game1/Clip1,9,1,player_bottom,564.5736083984375,548.502197265625,522.4829711914062,352.5059509277344,606.664306640625,548.502197265625,0.8278101086616516
game1/Clip1,9,2,player_top,783.1154174804688,158.20785522460938,758.1178588867188,95.59542846679688,808.1129760742188,158.20785522460938,0.85104900598526
game1/Clip1,10,1,player_bottom,563.4304809570312,548.1079711914062,522.0823364257812,352.5180969238281,604.7786254882812,548.1079711914062,0.807774007320404
game1/Clip1,10,2,player_top,783.0601806640625,158.23524475097656,757.994384765625,94.9822006225586,808.1260375976562,158.23524475097656,0.8467730283737183
game1/Clip1,11,1,player_bottom,563.5316162109375,548.0901489257812,522.9129638671875,353.1534423828125,604.1502075195312,548.0901489257812,0.8488705158233643
game1/Clip1,11,2,player_top,783.00146484375,158.28421020507812,757.6350708007812,93.721923828125,808.3678588867188,158.28421020507812,0.8544060587882996
game1/Clip1,12,1,player_bottom,564.94482421875,548.0913696289062,525.027587890625,354.5726013183594,604.8619995117188,548.0913696289062,0.8430359959602356
game1/Clip1,12,2,player_top,782.9368896484375,158.13897705078125,757.3330688476562,92.24623107910156,808.540771484375,158.13897705078125,0.8659242391586304
game1/Clip1,13,1,player_bottom,567.1185913085938,548.651123046875,527.975341796875,357.6405334472656,606.2618408203125,548.651123046875,0.8564218878746033
game1/Clip1,13,2,player_top,782.8256225585938,157.66661071777344,757.1132202148438,90.70121002197266,808.5380249023438,157.66661071777344,0.8928460478782654
game1/Clip1,14,1,player_bottom,568.7398681640625,549.0210571289062,530.03564453125,359.7549743652344,607.4440307617188,549.0210571289062,0.8464489579200745
game1/Clip1,14,2,player_top,782.7940673828125,157.24209594726562,757.18408203125,89.72512817382812,808.4041137695312,157.24209594726562,0.8913570046424866
game1/Clip1,15,1,player_bottom,570.4654541015625,548.359375,532.4104614257812,362.09130859375,608.5204467773438,548.359375,0.8584675192832947
game1/Clip1,15,2,player_top,782.4697265625,157.13583374023438,756.929443359375,88.86724090576172,808.0100708007812,157.13583374023438,0.8970410227775574
game1/Clip1,16,1,player_bottom,571.8699951171875,547.6993408203125,534.2462768554688,363.4872741699219,609.4937744140625,547.6993408203125,0.8788549304008484
